week,home_team,away_team,home_score,away_score,home_projected,away_projected,year,league_id,league_name
8,Abraham’s mom ,Jarbo,101.48,102.36,106.91,103.76,2023,244658114,Johnson's
8,A Real Killa,Childhood menace ,158.76,107.2,122.93,111.2,2023,244658114,Johnson's
8,Blk Mania,NBA 4Skiii,132.02,147.86,114.21,115.89,2023,244658114,Johnson's
8,Raiders Nation,Team Zee,96.22,103.16,120.51,119.47,2023,244658114,Johnson's
9,Team Johnson iii,Team zeke,111.2,98.58,117.53,117.38,2023,244658114,Johnson's
9,DaBears,Abraham’s mom ,122.72,77.08,123.22,76.11,2023,244658114,Johnson's
9,Jonny Football,A Real Killa,141.8,135.68,120.62,116.86,2023,244658114,Johnson's
9,Jarbo,Blk Mania,109.18,112.92,104.83,111.15,2023,244658114,Johnson's
9,Childhood menace ,Raiders Nation,104.4,89.24,102.04,111.11,2023,244658114,Johnson's
9,NBA 4Skiii,Team Zee,129.16,70.72,111.26,113.03,2023,244658114,Johnson's
10,Team zeke,Abraham’s mom ,130.36,79.22,110.83,95.45,2023,244658114,Johnson's
10,A Real Killa,Team Johnson iii,119.66,110.32,121.2,119.39,2023,244658114,Johnson's
10,Blk Mania,DaBears,129.88,104.38,102.96,125.96,2023,244658114,Johnson's
10,Raiders Nation,Jonny Football,93.92,145.78,76.63,113.89,2023,244658114,Johnson's
10,Team Zee,Jarbo,82.64,143.16,107.05,107.33,2023,244658114,Johnson's
10,NBA 4Skiii,Childhood menace ,124.46,147.94,121.75,102.84,2023,244658114,Johnson's
11,A Real Killa,Team zeke,121.16,140.06,118.23,120.92,2023,244658114,Johnson's
11,Abraham’s mom ,Blk Mania,82.76,80.14,102.44,123.47,2023,244658114,Johnson's
11,Team Johnson iii,Raiders Nation,69.94,112.2,115.77,117.05,2023,244658114,Johnson's
11,DaBears,Team Zee,149.0,98.84,113.14,112.24,2023,244658114,Johnson's
11,Jonny Football,NBA 4Skiii,110.34,127.66,126.84,120.6,2023,244658114,Johnson's
11,Jarbo,Childhood menace ,112.72,115.78,94.95,109.94,2023,244658114,Johnson's
12,Team zeke,Blk Mania,151.68,125.42,121.66,116.95,2023,244658114,Johnson's
12,Raiders Nation,A Real Killa,93.28,116.64,97.95,127.95,2023,244658114,Johnson's
12,Team Zee,Abraham’s mom ,139.46,80.88,115.24,108.99,2023,244658114,Johnson's
12,NBA 4Skiii,Team Johnson iii,135.74,126.46,125.42,118.86,2023,244658114,Johnson's
12,Childhood menace ,DaBears,91.92,139.46,111.9,116.61,2023,244658114,Johnson's
12,Jarbo,Jonny Football,117.7,136.36,115.86,126.16,2023,244658114,Johnson's
13,Raiders Nation,Team zeke,80.08,104.96,85.81,117.85,2023,244658114,Johnson's
13,Blk Mania,Team Zee,148.0,141.96,117.05,114.88,2023,244658114,Johnson's
13,A Real Killa,NBA 4Skiii,111.3,125.86,121.17,128.3,2023,244658114,Johnson's
13,Abraham’s mom ,Childhood menace ,81.44,101.7,99.59,110.85,2023,244658114,Johnson's
13,Team Johnson iii,Jarbo,119.48,111.34,121.89,112.47,2023,244658114,Johnson's
13,DaBears,Jonny Football,103.26,134.02,72.93,122.84,2023,244658114,Johnson's
14,Team zeke,Team Zee,116.72,93.44,124.69,121.02,2023,244658114,Johnson's
14,NBA 4Skiii,Raiders Nation,151.44,64.64,125.57,89.9,2023,244658114,Johnson's
14,Childhood menace ,Blk Mania,112.14,141.32,95.26,125.33,2023,244658114,Johnson's
14,Jarbo,A Real Killa,108.18,119.8,106.19,130.19,2023,244658114,Johnson's
14,Jonny Football,Abraham’s mom ,115.38,105.74,111.37,100.18,2023,244658114,Johnson's
14,DaBears,Team Johnson iii,142.72,125.56,118.34,114.13,2023,244658114,Johnson's
