name,position,team,owner,total_points,total_projected_points,avg_points,projected_avg_points,year,league_id,league_name
Derrick Henry,RB,BAL,Dawg Pound,242.66,0.0,14.27,0.0,2023,499904937,Sunday Funday
Colts D/ST,D/ST,IND,Dawg Pound,219.18,0.0,12.89,0.0,2023,499904937,Sunday Funday
Zamir White,RB,LV,Dawg Pound,70.65,0.0,4.16,0.0,2023,499904937,Sunday Funday
Jason Sanders,K,MIA,Dawg Pound,136.7,125.92,8.04,7.41,2023,499904937,Sunday Funday
Zach Charbonnet,RB,SEA,Dawg Pound,97.85,0.0,6.12,0.0,2023,499904937,Sunday Funday
Demarcus Robinson,WR,LAR,Dawg Pound,78.9,0.0,4.93,0.0,2023,499904937,Sunday Funday
Ja'Marr Chase,WR,CIN,Team JB,246.47,0.0,15.4,0.0,2023,499904937,Sunday Funday
Jaylen Waddle,WR,MIA,Team JB,184.85,0.0,13.2,0.0,2023,499904937,Sunday Funday
Patrick Mahomes,QB,KC,Team JB,251.97,0.0,15.75,0.0,2023,499904937,Sunday Funday
Mike Evans,WR,TB,Team JB,267.75,0.0,15.75,0.0,2023,499904937,Sunday Funday
T.J. Hockenson,TE,MIN,Team JB,195.0,0.0,13.0,0.0,2023,499904937,Sunday Funday
J.K. Dobbins,RB,BAL,Team JB,11.2,177.92,11.2,13.69,2023,499904937,Sunday Funday
Michael Thomas,WR,NO,Team JB,80.05,145.91,8.01,11.22,2023,499904937,Sunday Funday
Khalil Herbert,RB,CHI,Team JB,108.75,0.0,9.06,0.0,2023,499904937,Sunday Funday
Brian Robinson Jr.,RB,WSH,Team JB,187.85,0.0,12.52,0.0,2023,499904937,Sunday Funday
Cowboys D/ST,D/ST,DAL,Team JB,280.14,0.0,16.48,0.0,2023,499904937,Sunday Funday
Harrison Butker,K,KC,Team JB,154.7,135.1,9.1,7.95,2023,499904937,Sunday Funday
Curtis Samuel,WR,BUF,Team JB,142.45,0.0,8.9,0.0,2023,499904937,Sunday Funday
Kareem Hunt,RB,CLE,Team JB,114.75,0.0,7.65,0.0,2023,499904937,Sunday Funday
Ezekiel Elliott,RB,NE,Team JB,159.75,121.87,9.4,8.7,2023,499904937,Sunday Funday
Chuba Hubbard,RB,CAR,Team JB,172.5,0.0,10.15,0.0,2023,499904937,Sunday Funday
Kyle Pitts,TE,ATL,Team JB,124.05,0.0,7.3,0.0,2023,499904937,Sunday Funday
Joshua Kelley,RB,LAC,Team JB,59.45,107.3,3.5,7.66,2023,499904937,Sunday Funday
Ty Chandler,RB,MIN,Team JB,96.5,0.0,5.68,0.0,2023,499904937,Sunday Funday
Austin Ekeler,RB,WSH,Fourth and Drunk,168.4,0.0,12.03,0.0,2023,499904937,Sunday Funday
Cooper Kupp,WR,LAR,Fourth and Drunk,154.65,0.0,12.89,0.0,2023,499904937,Sunday Funday
Tee Higgins,WR,CIN,Fourth and Drunk,130.6,0.0,10.88,0.0,2023,499904937,Sunday Funday
Tyler Lockett,WR,SEA,Fourth and Drunk,182.65,0.0,10.74,0.0,2023,499904937,Sunday Funday
Rachaad White,RB,TB,Fourth and Drunk,251.15,0.0,14.77,0.0,2023,499904937,Sunday Funday
AJ Dillon,RB,GB,Fourth and Drunk,112.1,0.0,7.47,0.0,2023,499904937,Sunday Funday
Jared Goff,QB,DET,Fourth and Drunk,263.35,0.0,15.49,0.0,2023,499904937,Sunday Funday
Marquise Brown,WR,KC,Fourth and Drunk,121.95,0.0,8.71,0.0,2023,499904937,Sunday Funday
Cole Kmet,TE,CHI,Fourth and Drunk,162.6,0.0,9.56,0.0,2023,499904937,Sunday Funday
Packers D/ST,D/ST,GB,Fourth and Drunk,197.38,0.0,11.61,0.0,2023,499904937,Sunday Funday
Rashee Rice,WR,KC,Fourth and Drunk,192.25,0.0,12.02,0.0,2023,499904937,Sunday Funday
Tyler Boyd,WR,CIN,Fourth and Drunk,127.8,135.84,7.52,9.06,2023,499904937,Sunday Funday
Baker Mayfield,QB,TB,Fourth and Drunk,244.56,0.0,14.39,0.0,2023,499904937,Sunday Funday
Jake Moody,K,SF,Fourth and Drunk,119.8,0.0,7.05,0.0,2023,499904937,Sunday Funday
Seahawks D/ST,D/ST,SEA,Fourth and Drunk,187.8,0.0,11.05,0.0,2023,499904937,Sunday Funday
Cade Otton,TE,TB,Fourth and Drunk,103.75,0.0,6.1,0.0,2023,499904937,Sunday Funday
Stefon Diggs,WR,BUF,Team Williams,250.8,0.0,14.75,0.0,2023,499904937,Sunday Funday
A.J. Brown,WR,PHI,Team Williams,268.35,0.0,15.79,0.0,2023,499904937,Sunday Funday
Lamar Jackson,QB,BAL,Team Williams,303.22,0.0,18.95,0.0,2023,499904937,Sunday Funday
Jahmyr Gibbs,RB,DET,Team Williams,228.6,0.0,15.24,0.0,2023,499904937,Sunday Funday
Kenneth Walker III,RB,SEA,Team Williams,193.9,0.0,12.93,0.0,2023,499904937,Sunday Funday
Alexander Mattison,RB,LV,Team Williams,122.7,0.0,7.67,0.0,2023,499904937,Sunday Funday
Jahan Dotson,WR,WSH,Team Williams,113.3,159.21,6.66,10.61,2023,499904937,Sunday Funday
Jaxon Smith-Njigba,WR,SEA,Team Williams,134.05,0.0,7.89,0.0,2023,499904937,Sunday Funday
David Njoku,TE,CLE,Team Williams,180.45,0.0,11.28,0.0,2023,499904937,Sunday Funday
Raheem Mostert,RB,MIA,Team Williams,259.7,0.0,17.31,0.0,2023,499904937,Sunday Funday
Justin Tucker,K,BAL,Team Williams,151.1,144.52,8.89,8.5,2023,499904937,Sunday Funday
Jayden Reed,WR,GB,Team Williams,199.95,0.0,12.5,0.0,2023,499904937,Sunday Funday
Kenneth Gainwell,RB,PHI,Team Williams,86.88,0.0,5.43,0.0,2023,499904937,Sunday Funday
Kenny Pickett,QB,PHI,Team Williams,97.45,0.0,8.12,0.0,2023,499904937,Sunday Funday
Matt Gay,K,IND,Team Williams,142.5,129.14,8.38,7.6,2023,499904937,Sunday Funday
Chiefs D/ST,D/ST,KC,Team Williams,232.84,0.0,13.7,0.0,2023,499904937,Sunday Funday
Justin Jefferson,WR,MIN,NBA 4Skiii,202.2,0.0,20.22,0.0,2023,244658114,Johnson's
Amon-Ra St. Brown,WR,DET,NBA 4Skiii,330.9,242.06,20.68,16.14,2023,244658114,Johnson's
Joe Mixon,RB,HOU,NBA 4Skiii,267.0,0.0,15.71,0.0,2023,244658114,Johnson's
Calvin Ridley,WR,TEN,NBA 4Skiii,229.9,0.0,13.52,0.0,2023,244658114,Johnson's
Breece Hall,RB,NYJ,NBA 4Skiii,290.5,0.0,17.09,0.0,2023,244658114,Johnson's
Terry McLaurin,WR,WSH,NBA 4Skiii,209.2,0.0,12.31,0.0,2023,244658114,Johnson's
James Cook,RB,BUF,NBA 4Skiii,232.7,0.0,13.69,0.0,2023,244658114,Johnson's
Dak Prescott,QB,DAL,NBA 4Skiii,342.84,0.0,20.17,0.0,2023,244658114,Johnson's
Evan Engram,TE,JAX,NBA 4Skiii,230.3,0.0,13.55,0.0,2023,244658114,Johnson's
Jets D/ST,D/ST,NYJ,NBA 4Skiii,159.0,0.0,9.35,0.0,2023,244658114,Johnson's
Jared Goff,QB,DET,NBA 4Skiii,289.1,0.0,17.01,0.0,2023,244658114,Johnson's
Tyler Boyd,WR,CIN,NBA 4Skiii,144.8,150.56,8.52,10.04,2023,244658114,Johnson's
Emari Demercado,RB,ARI,NBA 4Skiii,73.3,0.0,5.24,0.0,2023,244658114,Johnson's
Trey McBride,TE,ARI,NBA 4Skiii,181.5,70.57,10.68,4.7,2023,244658114,Johnson's
Rams D/ST,D/ST,LAR,NBA 4Skiii,75.0,0.0,4.41,0.0,2023,244658114,Johnson's
Cairo Santos,K,CHI,NBA 4Skiii,155.0,139.29,9.12,8.19,2023,244658114,Johnson's
Ja'Marr Chase,WR,CIN,Jarbo,262.72,0.0,16.42,0.0,2023,244658114,Johnson's
Jalen Hurts,QB,PHI,Jarbo,356.82,0.0,20.99,0.0,2023,244658114,Johnson's
Jahmyr Gibbs,RB,DET,Jarbo,242.1,0.0,16.14,0.0,2023,244658114,Johnson's
George Kittle,TE,SF,Jarbo,203.2,0.0,12.7,0.0,2023,244658114,Johnson's
Christian Watson,WR,GB,Jarbo,101.3,0.0,10.13,0.0,2023,244658114,Johnson's
Cowboys D/ST,D/ST,DAL,Jarbo,172.0,0.0,10.12,0.0,2023,244658114,Johnson's
Javonte Williams,RB,DEN,Jarbo,179.2,0.0,11.2,0.0,2023,244658114,Johnson's
Blake Grupe,K,NO,Jarbo,143.0,127.5,8.41,7.5,2023,244658114,Johnson's
Michael Thomas,WR,NO,Jarbo,89.8,163.67,8.98,12.59,2023,244658114,Johnson's
Odell Beckham Jr.,WR,None,Jarbo,107.5,151.74,7.68,11.67,2023,244658114,Johnson's
Raheem Mostert,RB,MIA,Jarbo,267.7,0.0,17.85,0.0,2023,244658114,Johnson's
K.J. Osborn,WR,NE,Jarbo,120.0,0.0,7.5,0.0,2023,244658114,Johnson's
Chigoziem Okonkwo,TE,TEN,Jarbo,113.4,0.0,6.67,0.0,2023,244658114,Johnson's
Jonnu Smith,TE,MIA,Jarbo,124.2,0.0,7.31,0.0,2023,244658114,Johnson's
Geno Smith,QB,SEA,Jarbo,227.26,0.0,15.15,0.0,2023,244658114,Johnson's
Rashid Shaheed,WR,NO,Jarbo,155.6,0.0,10.37,0.0,2023,244658114,Johnson's
Justin Watson,WR,KC,Jarbo,89.0,0.0,5.56,0.0,2023,244658114,Johnson's
Patrick Mahomes,QB,KC,Childhood menace ,280.22,0.0,17.51,0.0,2023,244658114,Johnson's
DeAndre Hopkins,WR,TEN,Childhood menace ,223.6,0.0,13.15,0.0,2023,244658114,Johnson's
Rachaad White,RB,TB,Childhood menace ,267.9,0.0,15.76,0.0,2023,244658114,Johnson's
49ers D/ST,D/ST,SF,Childhood menace ,136.0,0.0,8.0,0.0,2023,244658114,Johnson's
Tyler Lockett,WR,SEA,Childhood menace ,202.4,0.0,11.91,0.0,2023,244658114,Johnson's
Evan McPherson,K,CIN,Childhood menace ,135.0,0.0,7.94,0.0,2023,244658114,Johnson's
Christian Kirk,WR,JAX,Childhood menace ,150.26,0.0,12.52,0.0,2023,244658114,Johnson's
Skyy Moore,WR,KC,Childhood menace ,53.7,0.0,3.84,0.0,2023,244658114,Johnson's
JuJu Smith-Schuster,WR,NE,Childhood menace ,61.0,0.0,5.55,0.0,2023,244658114,Johnson's
Samaje Perine,RB,DEN,Childhood menace ,121.3,0.0,7.14,0.0,2023,244658114,Johnson's
Brock Purdy,QB,SF,Childhood menace ,295.6,0.0,18.48,0.0,2023,244658114,Johnson's
Jaylen Warren,RB,PIT,Childhood menace ,196.4,0.0,11.55,0.0,2023,244658114,Johnson's
Tyler Conklin,TE,NYJ,Childhood menace ,123.1,0.0,7.24,0.0,2023,244658114,Johnson's
Titans D/ST,D/ST,TEN,Childhood menace ,88.0,0.0,5.18,0.0,2023,244658114,Johnson's
Khalil Herbert,RB,CHI,Childhood menace ,112.5,0.0,9.38,0.0,2023,244658114,Johnson's
Taysom Hill,TE,NO,Childhood menace ,143.52,0.0,8.97,0.0,2023,244658114,Johnson's
Austin Ekeler,RB,WSH,Team Johnson iii,185.4,0.0,13.24,0.0,2023,244658114,Johnson's
Tony Pollard,RB,TEN,Team Johnson iii,222.6,0.0,13.09,0.0,2023,244658114,Johnson's
